x,y,frame
1113,339,218
1114,335,219
1115,330,220
1117,326,221
1117,323,222
1118,319,223
1119,316,224
1122,308,225
1122,300,226
1120,294,227
1118,285,228
1117,275,229
1115,267,230
1114,257,231
1113,250,232
1111,242,233
1109,232,234
1102,225,235
1089,218,236
1077,214,237
1061,209,238
1042,208,239
1023,209,240
1004,209,241
984,210,242
966,210,243
948,208,244
928,208,245
910,207,246
892,204,247
871,203,248
853,203,249
833,201,250
814,198,251
798,196,252
787,194,253
779,193,254
775,192,255
768,191,256
761,189,257
752,189,258
737,189,259
720,187,260
703,186,261
686,185,262
670,183,263
653,183,264
636,184,265
618,185,266
599,187,267
583,189,268
563,190,269
549,191,270
535,193,271
519,194,272
505,195,273
494,196,274
479,198,275
467,198,276
454,199,277
441,201,278
429,202,279
416,203,280
403,204,281
393,206,282
383,207,283
373,208,284
363,210,285
356,211,286
349,212,287
341,213,288
335,215,289
329,216,290
320,220,291
312,224,292
303,228,293
293,232,294
285,235,295
277,237,296
271,240,297
266,242,298
262,243,299
260,244,300
258,246,301
258,247,302
256,248,303
256,248,304
257,248,305
257,248,306
258,248,307
259,249,308
259,249,309
259,249,310
259,249,311
259,249,312
260,248,313
257,245,314
260,239,315
265,233,316
268,229,317
272,224,318
276,218,319
280,208,320
283,202,321
285,197,322
286,193,323
288,185,324
289,184,325
290,183,326
291,180,327
291,179,328
292,175,329
299,167,330
314,165,331
328,163,332
344,160,333
365,158,334
383,158,335
406,156,336
426,155,337
443,155,338
463,154,339
483,152,340
498,150,341
515,149,342
532,146,343
542,136,344
552,121,345
567,100,346
573,86,347
583,62,348
589,50,349
596,34,350
599,34,351
605,33,352
609,31,353
616,31,354
622,30,355
624,31,356
626,31,357
626,31,358
621,36,359
620,38,360
621,37,361
622,31,362
614,40,363
607,33,364
605,34,365
604,34,366
613,33,367
621,33,368
627,33,369
632,35,370
633,39,371
639,41,372
643,42,373
648,41,374
651,42,375
654,42,376
658,42,377
662,42,378
665,42,379
665,44,380
669,48,381
684,60,382
690,64,383
693,67,384
701,73,385
708,77,386
714,81,387
719,84,388
725,85,389
731,88,390
741,93,391
747,96,392
756,100,393
761,102,394
768,104,395
775,107,396
781,109,397
791,111,398
796,113,399
805,116,400
815,117,401
824,119,402
832,121,403
836,122,404
843,125,405
850,126,406
858,128,407
868,131,408
879,133,409
890,141,410
905,150,411
925,160,412
944,173,413
964,185,414
981,198,415
993,206,416
1005,214,417
1019,225,418
1031,234,419
1044,243,420
1055,252,421
1062,258,422
1067,262,423
1070,264,424
1076,267,425
1079,270,426
1083,272,427
1088,275,428
1085,274,429
1085,275,430
1083,274,431
1084,276,432
1084,277,433
1087,281,434
1087,283,435
1088,286,436
1090,288,437
1092,291,438
1094,294,439
1098,296,440
1098,296,441
1097,296,442
1097,296,443
1098,296,444
1098,296,445
1100,296,446
1101,295,447
1103,296,448
1105,296,449
1108,297,450
1114,300,451
1114,300,452
1116,301,453
1120,302,454
1120,302,455
1120,302,456
1121,302,457
1119,301,458
1120,301,459
1119,301,460
1119,301,461
1119,302,462
1122,303,463
1120,302,464
1120,302,465
1119,302,466
1117,302,467
1117,303,468
1115,302,469
1117,301,470
1116,299,471
1118,297,472
1121,294,473
1118,294,474
1119,293,475
1119,292,476
1120,292,477
1121,293,478
1122,293,479
1120,293,480
1123,293,481
1125,293,482
1128,293,483
1129,293,484
1126,293,485
1126,294,486
1127,294,487
1128,295,488
1130,296,489
1133,298,490
1134,299,491
1134,299,492
1134,300,493
1133,300,494
1132,299,495
1138,303,496
1136,303,497
1138,304,498
1141,305,499
1142,303,500
1139,302,501
1133,299,502
1134,298,503
1134,298,504
1134,298,505
1131,298,506
1134,300,507
1134,303,508
1134,304,509
1130,301,510
1130,301,511
1225,417,512
1219,184,513
1130,306,514
1129,309,515
1129,310,516
1130,313,517
1130,315,518
1131,320,519
1131,324,520
NA,NA,521
1135,334,522
1133,332,523
1132,332,524
1131,330,525
1131,333,526
1135,337,527
1131,334,528
1125,330,529
1120,329,530
1120,328,531
1114,326,532
1114,326,533
1127,326,534
1124,326,535
1123,325,536
1122,325,537
1122,324,538
1123,324,539
1121,324,540
1121,324,541
1120,324,542
1119,324,543
1120,323,544
1118,323,545
1118,322,546
1120,320,547
1121,319,548
1120,319,549
1123,317,550
1129,314,551
1126,315,552
1128,313,553
1126,314,554
1129,309,555
1131,305,556
1132,303,557
1134,299,558
1138,293,559
1141,288,560
1148,285,561
1145,282,562
1143,280,563
1147,276,564
1218,199,565
1150,272,566
1151,269,567
1151,268,568
1153,265,569
1155,263,570
1157,258,571
1215,199,572
1216,176,573
1156,254,574
1159,252,575
1156,255,576
1156,254,577
1156,253,578
1158,249,579
1157,251,580
1200,228,581
1157,242,582
1156,237,583
1155,237,584
1153,241,585
1217,182,586
1151,238,587
1151,237,588
1155,233,589
1215,186,590
1159,228,591
1218,157,592
1201,200,593
1215,190,594
1209,199,595
1215,179,596
1205,214,597
1207,205,598
1221,210,599
1215,158,600
1205,196,601
NA,NA,602
1241,153,603
1206,196,604
1203,188,605
1211,214,606
1211,215,607
1213,210,608
1228,148,609
1211,211,610
1212,207,611
1214,204,612
1209,210,613
1214,210,614
1220,205,615
1225,224,616
1212,197,617
NA,NA,618
1214,205,619
1216,191,620
1229,173,621
1213,208,622
1216,200,623
1206,209,624
1211,206,625
1212,204,626
1157,214,627
1148,216,628
1147,215,629
1148,215,630
1148,215,631
1147,214,632
1148,212,633
1148,212,634
1145,212,635
1152,211,636
1155,211,637
1215,198,638
1151,212,639
1152,211,640
1207,210,641
1152,208,642
1220,160,643
1229,156,644
1229,120,645
1212,212,646
1212,210,647
1201,232,648
1203,234,649
1204,235,650
1218,234,651
1239,162,652
1131,198,653
1214,348,654
1225,377,655
1228,105,656
1111,73,657
1218,368,658
1189,161,659
1146,234,660
1221,394,661
1142,235,662
1141,236,663
1138,238,664
1216,69,665
1138,236,666
1135,238,667
1133,239,668
1132,240,669
1128,244,670
1126,244,671
1218,164,672
1106,251,673
1099,252,674
1095,252,675
1089,253,676
1082,256,677
1079,255,678
1075,256,679
1074,255,680
1068,256,681
1058,257,682
1054,258,683
1048,259,684
1043,259,685
1036,260,686
1032,261,687
1023,262,688
1014,265,689
1008,267,690
1000,270,691
995,272,692
992,274,693
988,276,694
984,277,695
983,279,696
984,280,697
984,278,698
988,278,699
992,277,700
997,277,701
998,275,702
1000,274,703
1004,273,704
1004,273,705
1007,273,706
1007,273,707
1004,273,708
1008,274,709
1006,274,710
1005,274,711
1007,275,712
1005,275,713
1010,277,714
1009,277,715
1011,275,716
1013,271,717
1013,267,718
1019,259,719
1027,250,720
1032,244,721
1038,237,722
1044,227,723
1051,218,724
1059,208,725
1064,200,726
1069,191,727
1081,176,728
1089,165,729
1097,154,730
1106,142,731
1114,130,732
1122,118,733
1129,109,734
1133,102,735
1137,97,736
1140,93,737
1144,88,738
1148,80,739
1153,75,740
1155,70,741
1158,66,742
1161,62,743
1163,58,744
1168,52,745
1218,109,746
1175,47,747
1172,48,748
1174,47,749
1175,47,750
1181,45,751
1211,70,752
1164,51,753
1168,54,754
1166,57,755
1165,60,756
1219,121,757
1165,64,758
1229,102,759
1229,117,760
1213,112,761
1218,478,762
1203,106,763
1226,88,764
1230,88,765
1222,434,766
1212,129,767
1210,132,768
1212,146,769
1208,136,770
1213,135,771
1239,146,772
1212,157,773
1229,116,774
1211,141,775
1210,138,776
1228,128,777
1203,156,778
1212,164,779
1206,115,780
1199,172,781
1196,190,782
1195,202,783
1194,209,784
1193,219,785
1193,221,786
1197,238,787
1198,239,788
1193,245,789
1194,244,790
1195,242,791
1196,253,792
1198,257,793
1199,260,794
1204,266,795
1206,270,796
1213,273,797
1215,274,798
1208,260,799
1207,275,800
1204,275,801
1203,280,802
1200,280,803
1198,278,804
1197,283,805
1196,286,806
1195,288,807
1194,294,808
1192,311,809
1192,317,810
1192,308,811
1194,304,812
1175,330,813
1174,328,814
1172,328,815
1166,335,816
1166,332,817
1166,332,818
1165,332,819
1164,330,820
1164,328,821
1165,326,822
1164,325,823
1164,323,824
1164,323,825
1164,322,826
1161,321,827
1156,320,828
1150,318,829
1147,315,830
1143,313,831
1139,311,832
1132,310,833
1125,309,834
1112,310,835
1105,314,836
1096,319,837
1086,325,838
1072,333,839
1063,339,840
1049,353,841
1037,363,842
1029,371,843
1019,384,844
1012,391,845
1002,404,846
996,413,847
989,422,848
984,432,849
978,439,850
973,446,851
969,454,852
972,451,853
960,463,854
954,465,855
958,464,856
950,465,857
946,466,858
943,468,859
933,472,860
927,474,861
921,474,862
921,475,863
916,473,864
906,463,865
901,458,866
890,449,867
884,446,868
876,441,869
867,436,870
859,434,871
850,432,872
841,429,873
831,427,874
819,426,875
808,425,876
796,424,877
782,424,878
769,425,879
756,424,880
741,424,881
728,425,882
716,425,883
704,425,884
688,425,885
676,425,886
664,425,887
652,425,888
640,425,889
631,425,890
620,424,891
608,423,892
596,421,893
584,418,894
571,407,895
574,395,896
576,381,897
575,361,898
575,344,899
577,325,900
578,308,901
579,293,902
580,277,903
582,261,904
585,245,905
588,234,906
590,222,907
592,211,908
595,201,909
598,189,910
602,178,911
604,167,912
607,158,913
610,146,914
621,137,915
633,135,916
651,134,917
672,131,918
688,130,919
703,130,920
722,130,921
738,130,922
757,133,923
773,136,924
791,140,925
805,143,926
822,146,927
838,147,928
850,148,929
864,148,930
876,149,931
889,150,932
900,152,933
910,154,934
919,161,935
925,171,936
931,181,937
936,192,938
940,202,939
940,211,940
941,222,941
943,233,942
944,251,943
945,263,944
945,284,945
945,306,946
945,324,947
945,341,948
946,351,949
946,358,950
947,361,951
947,366,952
948,375,953
948,379,954
947,383,955
949,388,956
948,391,957
951,394,958
956,396,959
963,399,960
970,400,961
976,402,962
979,402,963
985,401,964
995,395,965
1002,390,966
1008,385,967
1015,381,968
1024,376,969
1032,372,970
1037,369,971
1044,368,972
1049,367,973
1053,366,974
1056,366,975
1059,366,976
1064,364,977
1067,363,978
1069,362,979
1070,360,980
1071,355,981
1072,350,982
1075,345,983
1076,342,984
1079,339,985
1084,334,986
1087,332,987
1090,328,988
1096,323,989
1098,321,990
1099,319,991
1099,318,992
1098,318,993
1099,316,994
1100,315,995
1100,314,996
1102,310,997
1101,303,998
1099,295,999
1097,287,1000
1094,281,1001
1090,270,1002
1082,262,1003
1070,254,1004
1057,247,1005
1043,244,1006
1020,244,1007
995,243,1008
976,243,1009
957,243,1010
936,244,1011
916,244,1012
898,244,1013
880,243,1014
862,240,1015
845,239,1016
827,237,1017
813,235,1018
794,232,1019
780,230,1020
767,228,1021
751,225,1022
737,222,1023
726,220,1024
716,218,1025
707,216,1026
697,214,1027
694,214,1028
690,213,1029
687,213,1030
683,213,1031
678,215,1032
671,221,1033
663,232,1034
655,241,1035
647,249,1036
640,257,1037
633,265,1038
627,270,1039
619,273,1040
610,274,1041
601,275,1042
592,276,1043
584,278,1044
575,279,1045
566,280,1046
555,283,1047
545,284,1048
536,286,1049
524,290,1050
515,294,1051
504,299,1052
495,302,1053
486,305,1054
476,308,1055
468,310,1056
460,313,1057
456,314,1058
453,315,1059
452,315,1060
448,316,1061
445,316,1062
438,316,1063
433,312,1064
426,309,1065
417,304,1066
406,300,1067
393,294,1068
383,290,1069
375,288,1070
366,285,1071
352,279,1072
342,275,1073
332,272,1074
321,268,1075
310,264,1076
301,261,1077
291,257,1078
282,254,1079
275,251,1080
267,248,1081
261,246,1082
256,244,1083
249,241,1084
243,239,1085
237,236,1086
230,234,1087
223,231,1088
213,229,1089
206,226,1090
195,222,1091
187,220,1092
177,217,1093
166,213,1094
158,210,1095
151,208,1096
142,205,1097
134,202,1098
120,196,1099
119,196,1100
107,191,1101
106,191,1102
107,193,1103
104,192,1104
105,193,1105
108,195,1106
114,198,1107
121,205,1108
132,207,1109
141,206,1110
149,205,1111
158,199,1112
168,196,1113
185,197,1114
208,194,1115
230,191,1116
247,189,1117
272,187,1118
291,186,1119
312,186,1120
337,182,1121
362,177,1122
390,168,1123
409,157,1124
427,148,1125
447,139,1126
465,133,1127
482,126,1128
500,119,1129
517,112,1130
531,102,1131
549,88,1132
567,75,1133
580,60,1134
591,48,1135
605,31,1136
608,31,1137
609,31,1138
609,30,1139
610,30,1140
612,33,1141
612,36,1142
619,40,1143
642,48,1144
647,49,1145
648,50,1146
649,51,1147
662,53,1148
671,61,1149
675,69,1150
682,75,1151
690,83,1152
700,91,1153
709,100,1154
722,109,1155
737,120,1156
752,132,1157
764,140,1158
777,149,1159
789,158,1160
803,167,1161
815,175,1162
829,184,1163
840,192,1164
853,200,1165
865,204,1166
873,208,1167
886,214,1168
899,221,1169
910,225,1170
921,229,1171
929,233,1172
940,238,1173
950,242,1174
959,246,1175
970,251,1176
982,259,1177
993,266,1178
1002,270,1179
1014,275,1180
1022,277,1181
1031,280,1182
1032,280,1183
1037,281,1184
1039,282,1185
1046,284,1186
1048,285,1187
1047,284,1188
1048,284,1189
1046,283,1190
1048,283,1191
1048,283,1192
1048,284,1193
1047,283,1194
1048,284,1195
1047,283,1196
1047,283,1197
1047,283,1198
1048,282,1199
1049,278,1200
1051,269,1201
1050,260,1202
1048,254,1203
1046,247,1204
1046,234,1205
1042,224,1206
1037,215,1207
1030,206,1208
1022,194,1209
1005,180,1210
988,176,1211
971,170,1212
953,165,1213
938,165,1214
918,163,1215
899,160,1216
884,158,1217
868,155,1218
851,152,1219
835,148,1220
824,145,1221
811,142,1222
804,141,1223
795,138,1224
787,136,1225
779,133,1226
768,130,1227
757,127,1228
748,123,1229
736,121,1230
726,120,1231
718,120,1232
708,120,1233
700,120,1234
693,119,1235
685,117,1236
680,115,1237
673,113,1238
666,110,1239
660,106,1240
656,97,1241
646,79,1242
637,62,1243
636,61,1244
618,30,1245
613,32,1246
614,31,1247
618,31,1248
621,31,1249
620,31,1250
623,31,1251
629,31,1252
632,31,1253
626,57,1254
634,44,1255
640,34,1256
631,33,1257
633,46,1258
626,47,1259
625,58,1260
621,59,1261
606,55,1262
604,61,1263
606,52,1264
600,60,1265
611,46,1266
616,44,1267
633,34,1268
629,40,1269
638,39,1270
641,44,1271
653,50,1272
659,51,1273
667,53,1274
674,55,1275
683,59,1276
689,63,1277
696,66,1278
709,72,1279
714,75,1280
721,79,1281
725,81,1282
734,84,1283
741,88,1284
750,91,1285
755,92,1286
764,93,1287
772,95,1288
778,96,1289
792,101,1290
797,105,1291
804,111,1292
810,115,1293
815,119,1294
821,122,1295
824,126,1296
829,130,1297
834,135,1298
840,140,1299
846,146,1300
852,151,1301
858,156,1302
865,158,1303
869,159,1304
878,163,1305
889,170,1306
894,172,1307
901,175,1308
909,179,1309
917,183,1310
923,186,1311
932,193,1312
937,197,1313
944,202,1314
978,247,1315
978,248,1316
982,251,1317
984,252,1318
986,254,1319
988,255,1320
988,256,1321
989,256,1322
990,257,1323
992,258,1324
1001,259,1325
1013,264,1326
1025,269,1327
1037,274,1328
1051,278,1329
1061,283,1330
1073,287,1331
1083,290,1332
1093,293,1333
1105,298,1334
1114,303,1335
1122,306,1336
1129,308,1337
1135,310,1338
1135,310,1339
1139,312,1340
1141,313,1341
1142,313,1342
1142,313,1343
1145,315,1344
1152,319,1345
1153,321,1346
1154,325,1347
1159,333,1348
1161,337,1349
1166,349,1350
1167,354,1351
1168,357,1352
1172,365,1353
1221,410,1354
1227,432,1355
1172,362,1356
1200,390,1357
1222,410,1358
1172,356,1359
1172,355,1360
1172,356,1361
1173,362,1362
1212,407,1363
1215,428,1364
1221,461,1365
1216,413,1366
1222,444,1367
1172,369,1368
1171,370,1369
1171,370,1370
1171,371,1371
1171,371,1372
1171,372,1373
1172,374,1374
1172,376,1375
1172,375,1376
1172,376,1377
1195,416,1378
1195,417,1379
1201,427,1380
1217,443,1381
1220,480,1382
1215,438,1383
NA,NA,1384
1214,433,1385
1207,416,1386
NA,NA,1387
1225,465,1388
1212,450,1389
1221,466,1390
1227,467,1391
1217,458,1392
1211,460,1393
1224,456,1394
1217,463,1395
1212,470,1396
1220,476,1397
1215,469,1398
1207,473,1399
1220,478,1400
1214,472,1401
1222,462,1402
1223,456,1403
1210,471,1404
1220,480,1405
1224,460,1406
1224,409,1407
1220,479,1408
1219,462,1409
1223,473,1410
NA,NA,1411
NA,NA,1412
1222,476,1413
1219,471,1414
NA,NA,1415
1216,461,1416
1212,476,1417
1220,473,1418
1217,468,1419
1222,480,1420
1219,480,1421
NA,NA,1422
1219,475,1423
1220,474,1424
1220,474,1425
1217,477,1426
NA,NA,1427
NA,NA,1428
NA,NA,1429
NA,NA,1430
NA,NA,1431
1215,437,1432
1216,435,1433
1210,448,1434
1203,421,1435
1167,444,1436
NA,NA,1437
NA,NA,1438
1217,411,1439
NA,NA,1440
1221,404,1441
1217,393,1442
1204,387,1443
1194,419,1444
1209,396,1445
1219,479,1446
1198,351,1447
1197,342,1448
1197,332,1449
1222,404,1450
1197,344,1451
1198,326,1452
1200,317,1453
1201,314,1454
1204,310,1455
1210,301,1456
1219,284,1457
1213,292,1458
1210,297,1459
1212,293,1460
1212,292,1461
1212,289,1462
1209,293,1463
1208,294,1464
1208,296,1465
1207,297,1466
1208,292,1467
1206,297,1468
1204,297,1469
1202,299,1470
1198,305,1471
1197,309,1472
1176,294,1473
1173,295,1474
1170,296,1475
1168,295,1476
1162,296,1477
1157,300,1478
1152,302,1479
1145,301,1480
1139,300,1481
1132,300,1482
1118,300,1483
1110,300,1484
1103,299,1485
1095,299,1486
1083,297,1487
1079,292,1488
1078,284,1489
1081,277,1490
1085,270,1491
1088,263,1492
1091,259,1493
1094,251,1494
1098,244,1495
1111,226,1496
1118,212,1497
1126,199,1498
1135,185,1499
1141,173,1500
1149,157,1501
1158,138,1502
1226,136,1503
1171,113,1504
1200,71,1505
1227,108,1506
1211,74,1507
1202,83,1508
1212,113,1509
1207,69,1510
1218,70,1511
1211,107,1512
1213,98,1513
1219,136,1514
1229,111,1515
1210,98,1516
1194,73,1517
1194,72,1518
1206,68,1519
1218,123,1520
1210,104,1521
1156,104,1522
1160,99,1523
1212,110,1524
1228,197,1525
1213,112,1526
1221,203,1527
1229,173,1528
1199,105,1529
1231,88,1530
1215,179,1531
1214,146,1532
1229,177,1533
1219,149,1534
1212,102,1535
NA,NA,1536
1240,133,1537
1215,110,1538
1212,108,1539
1243,151,1540
1243,94,1541
1212,132,1542
1211,147,1543
1228,181,1544
1213,139,1545
1230,169,1546
1217,155,1547
1216,180,1548
1214,121,1549
1213,137,1550
1244,161,1551
1213,133,1552
1213,134,1553
1217,153,1554
1251,186,1555
1231,107,1556
NA,NA,1557
1227,191,1558
1230,85,1559
1195,155,1560
1215,185,1561
1226,64,1562
1213,205,1563
1212,204,1564
1211,207,1565
NA,NA,1566
1229,84,1567
1212,239,1568
1216,136,1569
1212,251,1570
1214,256,1571
1217,261,1572
1217,267,1573
1220,273,1574
1220,278,1575
1221,283,1576
1222,285,1577
1220,287,1578
1219,290,1579
1218,294,1580
1218,306,1581
1217,309,1582
1218,318,1583
1219,326,1584
1218,333,1585
1216,341,1586
1215,347,1587
1222,400,1588
1220,404,1589
1224,403,1590
1221,402,1591
1205,398,1592
1220,402,1593
1223,415,1594
1215,392,1595
1211,394,1596
1220,415,1597
1217,415,1598
1218,409,1599
1221,407,1600
1220,417,1601
NA,NA,1602
NA,NA,1603
1221,430,1604
1219,462,1605
NA,NA,1606
1222,425,1607
NA,NA,1608
NA,NA,1609
1219,440,1610
1232,481,1611
1226,411,1612
1223,398,1613
NA,NA,1614
NA,NA,1615
1226,411,1616
NA,NA,1617
1210,372,1618
1204,370,1619
1205,363,1620
1207,355,1621
1220,399,1622
1207,348,1623
1210,342,1624
1212,337,1625
1212,337,1626
1211,336,1627
1212,334,1628
1213,330,1629
1211,329,1630
1208,325,1631
1203,317,1632
1199,309,1633
1195,300,1634
1194,295,1635
1191,287,1636
1190,279,1637
1177,269,1638
1177,266,1639
1177,262,1640
1177,263,1641
1176,265,1642
1176,268,1643
1175,264,1644
1175,254,1645
1176,250,1646
1177,233,1647
1229,136,1648
NA,NA,1649
1157,170,1650
1154,165,1651
1145,164,1652
1139,163,1653
1127,161,1654
1112,156,1655
1094,159,1656
1215,145,1657
1060,162,1658
1041,164,1659
1020,167,1660
1002,168,1661
987,169,1662
971,172,1663
956,174,1664
939,175,1665
925,176,1666
908,177,1667
892,177,1668
876,174,1669
862,172,1670
848,171,1671
832,169,1672
819,167,1673
804,165,1674
790,165,1675
777,164,1676
765,163,1677
754,162,1678
742,160,1679
735,159,1680
723,160,1681
714,164,1682
703,169,1683
690,174,1684
676,180,1685
667,185,1686
658,190,1687
649,197,1688
641,206,1689
632,212,1690
623,218,1691
614,225,1692
606,231,1693
599,237,1694
592,244,1695
586,250,1696
582,255,1697
577,263,1698
573,269,1699
568,274,1700
565,278,1701
562,281,1702
557,284,1703
552,285,1704
553,282,1705
552,275,1706
551,268,1707
550,259,1708
548,249,1709
548,240,1710
547,233,1711
547,225,1712
546,213,1713
545,200,1714
546,181,1715
548,164,1716
551,143,1717
552,128,1718
554,116,1719
555,108,1720
555,102,1721
556,100,1722
556,96,1723
557,94,1724
558,93,1725
557,91,1726
557,91,1727
558,90,1728
562,80,1729
569,68,1730
572,52,1731
577,35,1732
580,35,1733
587,35,1734
593,36,1735
NA,NA,1736
605,33,1737
598,56,1738
606,56,1739
611,56,1740
617,57,1741
618,63,1742
622,61,1743
622,62,1744
622,62,1745
625,51,1746
626,53,1747
630,56,1748
630,61,1749
633,64,1750
636,66,1751
638,68,1752
640,69,1753
644,70,1754
643,71,1755
642,71,1756
638,68,1757
1229,131,1758
1220,143,1759
623,61,1760
619,59,1761
616,58,1762
612,58,1763
1220,159,1764
607,55,1765
1230,132,1766
609,59,1767
611,55,1768
612,54,1769
616,55,1770
619,53,1771
618,55,1772
622,50,1773
623,51,1774
623,54,1775
630,58,1776
641,60,1777
652,62,1778
660,65,1779
670,67,1780
682,70,1781
692,72,1782
693,73,1783
691,74,1784
691,75,1785
687,76,1786
686,76,1787
690,76,1788
688,77,1789
691,78,1790
695,81,1791
698,84,1792
702,88,1793
707,92,1794
711,95,1795
715,98,1796
723,106,1797
727,108,1798
728,109,1799
732,112,1800
737,116,1801
741,119,1802
746,123,1803
750,126,1804
754,130,1805
755,130,1806
758,133,1807
758,133,1808
758,134,1809
759,134,1810
757,134,1811
757,133,1812
759,134,1813
759,133,1814
758,133,1815
760,134,1816
757,132,1817
758,134,1818
760,135,1819
765,138,1820
770,139,1821
773,140,1822
783,143,1823
790,146,1824
796,148,1825
803,150,1826
810,152,1827
818,154,1828
824,156,1829
830,158,1830
833,159,1831
836,160,1832
839,161,1833
842,161,1834
845,162,1835
846,162,1836
846,161,1837
848,162,1838
846,161,1839
848,162,1840
849,162,1841
848,161,1842
850,163,1843
860,172,1844
864,181,1845
870,189,1846
876,196,1847
883,204,1848
890,211,1849
895,216,1850
901,222,1851
905,225,1852
910,229,1853
915,233,1854
920,238,1855
924,242,1856
925,244,1857
927,249,1858
928,258,1859
928,264,1860
927,271,1861
928,276,1862
928,281,1863
929,285,1864
929,288,1865
930,291,1866
929,293,1867
930,296,1868
930,297,1869
930,298,1870
931,299,1871
932,298,1872
932,298,1873
936,299,1874
942,298,1875
949,298,1876
957,297,1877
963,296,1878
971,295,1879
977,294,1880
982,294,1881
990,294,1882
1001,293,1883
1007,293,1884
1014,291,1885
1020,290,1886
1028,288,1887
1033,287,1888
1037,287,1889
1041,286,1890
1050,287,1891
1054,290,1892
1056,293,1893
1059,298,1894
1062,304,1895
1065,311,1896
1068,317,1897
1069,324,1898
1070,329,1899
1072,336,1900
1074,341,1901
1075,345,1902
1075,348,1903
1077,353,1904
1076,353,1905
1077,356,1906
1078,359,1907
1078,361,1908
1079,362,1909
1079,362,1910
1079,363,1911
1085,364,1912
1095,364,1913
1101,362,1914
1107,360,1915
1109,359,1916
1111,358,1917
1113,357,1918
1115,355,1919
1115,354,1920
1119,349,1921
1119,341,1922
1119,333,1923
1119,327,1924
1119,319,1925
1119,314,1926
1119,310,1927
1119,305,1928
1117,294,1929
1111,285,1930
1104,277,1931
1094,268,1932
1087,261,1933
1080,254,1934
1071,246,1935
1065,240,1936
1060,234,1937
1056,230,1938
1044,221,1939
1029,218,1940
1016,215,1941
999,212,1942
982,210,1943
967,207,1944
954,205,1945
937,202,1946
922,200,1947
906,197,1948
892,193,1949
877,192,1950
862,190,1951
848,187,1952
834,183,1953
821,181,1954
811,178,1955
800,176,1956
790,174,1957
779,172,1958
768,173,1959
756,173,1960
744,172,1961
732,172,1962
721,171,1963
710,165,1964
701,156,1965
684,139,1966
675,126,1967
666,111,1968
654,94,1969
645,79,1970
639,68,1971
632,55,1972
634,60,1973
632,60,1974
630,59,1975
627,57,1976
627,58,1977
628,58,1978
630,59,1979
630,60,1980
629,61,1981
627,55,1982
618,53,1983
613,56,1984
603,55,1985
592,49,1986
584,49,1987
577,50,1988
574,48,1989
577,44,1990
591,36,1991
592,44,1992
598,45,1993
601,47,1994
608,46,1995
612,45,1996
615,43,1997
614,44,1998
606,48,1999
601,48,2000
